"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44430 - MAICAO","DELTA SERVICIOS ELECTRICOS INDUSTRIALES S.A.S","20.120.912","20.220.326","694.798.087","C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo","G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","16"
"44035 - ALBANIA","OXOHOTEL WAYA WUAJIRA S.A.S.","20.120.914","20.220.329","3.275.312.000","I5511 ** Alojamiento en hoteles","I5611 ** Expendio a la mesa de comidas preparadas","16"
"44279 - FONSECA","ABRAHAM JOSE OVALLE ORTIZ","20.120.924","20.220.331","1.082.079.800","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","A0150 ** Explotacion mixta (agricola y pecuaria)","1"
"44430 - MAICAO","HERNANDEZ IGUARAN KELLY MELISSA","20.120.926","20.200.305","600.000.000","G4799 ** Otros tipos de comercio al por menor no realizado en establecimientos  puestos de venta o mercados","G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados","1"
"44279 - FONSECA","CONSTRUCTORA B.G. S.A.S","19.880.324","20.220.330","5.926.351.034","F4290 ** Construccion de otras obras de ingenieria civil","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44001 - RIOHACHA","CARDIO LIVE I.P.S. S.A.S.","20.121.217","20.220.407","3.354.741.345","Q8621 ** Actividades de la practica medica  sin internacion","Q8692 ** Actividades de apoyo terapeutico","16"
"44035 - ALBANIA","LAVANDERIA TECNICA ESPECIALIZADA DE ALBANIA S.A.S.","20.130.111","20.220.330","523.238.970","S9601 ** Lavado y limpieza  incluso la limpieza en seco  de productos textiles y de piel",,"16"
"44001 - RIOHACHA","CONSTRUCCIONES CARRILLO S.A.S.","20.130.114","20.220.418","614.161.426","F4220 ** Construccion de proyectos de servicio publico","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44078 - BARRANCAS","CONSTRUCTORA ALMENAREZ S.A.S","20.130.114","20.210.331","1.066.219.000","F4111 ** Construccion de edificios residenciales","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44078 - BARRANCAS","IMF INGENIERIA .S.A.S.","20.130.124","20.220.328","4.447.917.000","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44001 - RIOHACHA","ROMMERTZ S.A.S.","20.130.221","20.210.409","659.456.546","M7020 ** Actividades de consultoria de gestion","M7410 ** Actividades especializadas de diseño","16"
"44430 - MAICAO","HOME ELECTRONIC S.A.S.","20.130.305","20.220.302","1.012.239.184","G4742 ** Comercio al por menor de equipos y aparatos de sonido y de video  en establecimientos especializados","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","16"
"44430 - MAICAO","LOS SOCIOS LG S.A.S.","20.130.306","20.220.331","797.982.504","G4731 ** Comercio al por menor de combustible para automotores","G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores","16"
"44430 - MAICAO","SERVIMEDI S.A.S.","20.130.311","20.220.513","2.562.162.000","Q8699 ** Otras actividades de atencion de la salud humana","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44001 - RIOHACHA","SERVICIOS TEMPORALES DE LA GUAJIRA LTDA  TEMPOGUAJIRA LTDA","20.130.318","20.210.331","599.164.000","N7820 ** Actividades de empresas de servicios temporales",,"3"
"44279 - FONSECA","ALEMAN VERGARA PROYECTOS INMOBILIARIOS S.A.S","20.130.318","20.220.331","567.809.501","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil","16"
"44430 - MAICAO","SERHAN FADEL ZIAD SAMIR","20.130.323","20.220.405","29.973.960.011","G4641 ** Comercio al por mayor de productos textiles  productos confeccionados para uso domestico","G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados","1"
"44378 - HATONUEVO","SOCIEDAD ARRENDADORA DE VEHICULOS AUTOMOTORES S.A.S  ARRENDAUTOS S.A.S","19.881.216","20.220.328","3.713.982.175","N7710 ** Alquiler y arrendamiento de vehiculos automotores","N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.","16"
"44078 - BARRANCAS","INVERSIONES CHRISS LORETTA LIMITADA","19.890.111","20.210.406","1.697.951.154","H4923 ** Transporte de carga por carretera","A0141 ** Cria de ganado bovino y bufalino","3"
"44001 - RIOHACHA","MEDIC S.A.S","20.130.417","20.220.314","1.003.568.511","Q8710 ** Actividades de atencion residencial medicalizada de tipo general","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44001 - RIOHACHA","AVILA DESARROLLOS INMOBILIARIOS SAS","20.130.507","20.210.330","6.677.818.000","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","16"
"44430 - MAICAO","INVERSIONES YASSINE S.A.S.","20.130.520","20.220.331","4.846.847.686","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","G4754 ** Comercio al por menor de electrodomésticos y gasodomésticos  muebles y equipos de iluminación en establecimientos especializados","16"
